Food|Calcium [mg]|Serving Size|Weight [g]|Percent water|Energy [kcal]|Protein [g]|Carbohydrate [g]|Fiber [g]|Cholesterol [mg]|Total Fat [g]|Saturate Fat [g]|Monosat Fat [g]|Polyunsat Fat [g]|Iron [mg]|Magnesium [mg]|Sodium [mg]|Phosphorous [mg]|Ca:P ratio|Potassium [mg]|Zinc [mg]|Niacin [mg]|Thiamin [mg]|Riboflavin [mg]|Vit A [RE]|Vit B6 [mg]|Vit C [mg]|Food type
Broccoli - Cooked, raw, spears|205|1 spear|180|90|53|5,3|10|7,4|0|0,5|0,1|0|0,2|2,2|106|20|86|2,38|293|0,3|1,36|0,15|0,37|254|0,36|113|VEGETABLES AND LEGUMES
Onions raw chopped|40|1 cup|160|91|54|1,9|11,7|2,6|0|0,4|0,1|0,1|0,2|0,6|16|3|46|0,87|248|0,3|0,16|0,1|0,02|0|0,25|13|VEGETABLES AND LEGUMES
Plums|10|3 ea|95|84|55|0,5|14,4|2,1|0|0,1|0|0|0|0,3|8|1|15|0,67|147|0,1|0,45|0,02|0,06|96|0,04|3|FRUITS
Rye wafers, whole grain|7|2 ea|14|5|55|1|10|1,4|0|1|0,3|0,4|0,3|0,5|16|115|44|0,16|65|1,6|0,5|0,06|0,03|0|0,03|0|BAKED GOODS
Peas, green canned drained|17|1/2 cup|85|82|59|3,8|10,7|5,4|0|0,3|0|0|0,1|0,8|15|186|57|0,3|147|0,6|0,62|0,1|0,07|65|0,05|8|VEGETABLES AND LEGUMES
Brussel sprouts cooked raw|56|1 cup|156|87|60|6|13,5|5,6|0|0,8|0,2|0,1|0,4|1,9|32|17|87|0,64|491|0,5|0,95|0,17|0,12|112|0,31|97|VEGETABLES AND LEGUMES
Graham crackers|6|2 ea|14|4|60|1|10,8|1,4|0|1,5|0,4|0,6|0,4|0,4|5|86|20|0,3|36|0,1|0,6|0,02|0,03|0|0,01|0|BAKED GOODS
Salad Dressing 1000 Island|2|1 tbsp|16|46|60|0,1|2,4|0|4|5,7|1|1,3|3,2|0,1|1|110|3|0,67|18|0|0,03|0,01|0,01|15|0,01|0|FATS AND OILS
Raw Yolk|26|1 ea|17|49|63|2,8|0,1|0|272|5,6|1,7|2,2|0,7|0,9|3|8|86|0,3|15|0,5|0,01|0,04|0,07|94|0,05|0|EGGS
Clams - raw|59|3 oz|85|82|65|11|0,2|0|43|1|0,3|0,3|0,3|2,6|31|102|138|0,43|154|1,4|1,1|0,09|0,15|26|0,07|9|FISH/SHELLFISH
Mixed grain toasted|273|1 pce|23|27|65|2|12|1|0|0,9|0,2|0,2|0,4|0,8|12|106|55|4,96|56|0|1,1|0,08|0,1|0|0,02|0|BAKED GOODS
Rye, sliced|20|1 pce|25|37|65|2,1|12|1,6|0|0,9|0,2|0,3|0,3|0,7|6|175|36|0,56|51|0,4|0,83|0,1|0,08|0|0,02|0|BAKED GOODS
Wheat bread, sliced|32|1 pce|25|37|65|2,4|11,8|1,4|0|1|0,2|0,4|0,3|0,9|12|135|47|0,68|35|0,3|1,13|0,12|0,08|0|0,03|0|BAKED GOODS
White bread, sliced|32|1 pce|25|37|65|2,1|12,2|0,7|0|1|0,3|0,4|0,2|0,7|5|129|27|1,19|28|0,1|0,94|0,12|0,08|0|0,01|0|BAKED GOODS
